time,BLMN
2021-01-04 00:00:00-05:00,18.34
2021-01-05 00:00:00-05:00,19.05
2021-01-06 00:00:00-05:00,20.31
2021-01-07 00:00:00-05:00,20.56
2021-01-08 00:00:00-05:00,20.675
2021-01-11 00:00:00-05:00,20.5
2021-01-12 00:00:00-05:00,20.96
2021-01-13 00:00:00-05:00,20.67
2021-01-14 00:00:00-05:00,21.18
2021-01-15 00:00:00-05:00,21.49
2021-01-19 00:00:00-05:00,22.04
2021-01-20 00:00:00-05:00,22.53
2021-01-21 00:00:00-05:00,22.31
2021-01-22 00:00:00-05:00,22.15
2021-01-25 00:00:00-05:00,22.01
2021-01-26 00:00:00-05:00,21.28
2021-01-27 00:00:00-05:00,20.02
2021-01-28 00:00:00-05:00,21.045
2021-01-29 00:00:00-05:00,21.07
2021-02-01 00:00:00-05:00,21.54
2021-02-02 00:00:00-05:00,21.99
2021-02-03 00:00:00-05:00,22.16
2021-02-04 00:00:00-05:00,22.74
2021-02-05 00:00:00-05:00,23.35
2021-02-08 00:00:00-05:00,23.28
2021-02-09 00:00:00-05:00,23.41
2021-02-10 00:00:00-05:00,23.65
2021-02-11 00:00:00-05:00,23.41
2021-02-12 00:00:00-05:00,22.76
2021-02-16 00:00:00-05:00,22.65
2021-02-17 00:00:00-05:00,22.465
2021-02-18 00:00:00-05:00,24.16
2021-02-19 00:00:00-05:00,24.84
2021-02-22 00:00:00-05:00,26.0
2021-02-23 00:00:00-05:00,25.55
2021-02-24 00:00:00-05:00,26.51
2021-02-25 00:00:00-05:00,25.04
2021-02-26 00:00:00-05:00,24.84
2021-03-01 00:00:00-05:00,25.9
2021-03-02 00:00:00-05:00,25.89
2021-03-03 00:00:00-05:00,26.1
2021-03-04 00:00:00-05:00,25.79
2021-03-05 00:00:00-05:00,27.01
2021-03-08 00:00:00-05:00,27.21
2021-03-09 00:00:00-05:00,26.1
2021-03-10 00:00:00-05:00,27.18
2021-03-11 00:00:00-05:00,27.0
2021-03-12 00:00:00-05:00,28.45
2021-03-15 00:00:00-04:00,28.82
2021-03-16 00:00:00-04:00,27.9
2021-03-17 00:00:00-04:00,28.26
2021-03-18 00:00:00-04:00,27.715
2021-03-19 00:00:00-04:00,28.37
2021-03-22 00:00:00-04:00,28.0
2021-03-23 00:00:00-04:00,26.895
2021-03-24 00:00:00-04:00,26.1927
2021-03-25 00:00:00-04:00,28.55
2021-03-26 00:00:00-04:00,29.22
2021-03-29 00:00:00-04:00,27.845
2021-03-30 00:00:00-04:00,28.0
2021-03-31 00:00:00-04:00,27.03
2021-04-01 00:00:00-04:00,27.26
2021-04-05 00:00:00-04:00,26.55
2021-04-06 00:00:00-04:00,26.64
2021-04-07 00:00:00-04:00,27.69
2021-04-08 00:00:00-04:00,28.09
2021-04-09 00:00:00-04:00,28.15
2021-04-12 00:00:00-04:00,28.03
2021-04-13 00:00:00-04:00,26.98
2021-04-14 00:00:00-04:00,27.69
2021-04-15 00:00:00-04:00,27.97
2021-04-16 00:00:00-04:00,28.16
2021-04-19 00:00:00-04:00,28.52
2021-04-20 00:00:00-04:00,27.93
2021-04-21 00:00:00-04:00,27.8
2021-04-22 00:00:00-04:00,28.63
2021-04-23 00:00:00-04:00,28.19
2021-04-26 00:00:00-04:00,27.89
2021-04-27 00:00:00-04:00,28.7
2021-04-28 00:00:00-04:00,28.8
2021-04-29 00:00:00-04:00,31.37
2021-04-30 00:00:00-04:00,31.59
2021-05-03 00:00:00-04:00,30.66
2021-05-04 00:00:00-04:00,30.86
2021-05-05 00:00:00-04:00,30.22
2021-05-06 00:00:00-04:00,29.6
2021-05-07 00:00:00-04:00,30.23
2021-05-10 00:00:00-04:00,29.83
2021-05-11 00:00:00-04:00,29.45
2021-05-12 00:00:00-04:00,27.37
2021-05-13 00:00:00-04:00,28.73
2021-05-14 00:00:00-04:00,29.22
2021-05-17 00:00:00-04:00,28.96
2021-05-18 00:00:00-04:00,28.38
2021-05-19 00:00:00-04:00,28.14
2021-05-20 00:00:00-04:00,28.18
2021-05-21 00:00:00-04:00,28.57
2021-05-24 00:00:00-04:00,28.77
2021-05-25 00:00:00-04:00,28.245
2021-05-26 00:00:00-04:00,29.26
2021-05-27 00:00:00-04:00,29.33
2021-05-28 00:00:00-04:00,29.56
2021-06-01 00:00:00-04:00,29.2
2021-06-02 00:00:00-04:00,28.83
2021-06-03 00:00:00-04:00,28.17
2021-06-04 00:00:00-04:00,28.11
2021-06-07 00:00:00-04:00,28.67
2021-06-08 00:00:00-04:00,29.98
2021-06-09 00:00:00-04:00,29.25
2021-06-10 00:00:00-04:00,28.335
2021-06-11 00:00:00-04:00,28.07
2021-06-14 00:00:00-04:00,27.735
2021-06-15 00:00:00-04:00,27.13
2021-06-16 00:00:00-04:00,27.19
2021-06-17 00:00:00-04:00,26.15
2021-06-18 00:00:00-04:00,25.57
2021-06-21 00:00:00-04:00,26.33
2021-06-22 00:00:00-04:00,26.25
2021-06-23 00:00:00-04:00,26.19
2021-06-24 00:00:00-04:00,27.35
2021-06-25 00:00:00-04:00,27.225
2021-06-28 00:00:00-04:00,27.14
2021-06-29 00:00:00-04:00,26.715
2021-06-30 00:00:00-04:00,27.14
2021-07-01 00:00:00-04:00,27.18
2021-07-02 00:00:00-04:00,27.21
2021-07-06 00:00:00-04:00,26.92
2021-07-07 00:00:00-04:00,26.29
2021-07-08 00:00:00-04:00,25.92
2021-07-09 00:00:00-04:00,27.15
2021-07-12 00:00:00-04:00,28.11
2021-07-13 00:00:00-04:00,27.89
2021-07-14 00:00:00-04:00,27.5
2021-07-15 00:00:00-04:00,26.45
2021-07-16 00:00:00-04:00,25.75
2021-07-19 00:00:00-04:00,23.98
2021-07-20 00:00:00-04:00,25.11
2021-07-21 00:00:00-04:00,26.13
2021-07-22 00:00:00-04:00,25.64
2021-07-23 00:00:00-04:00,25.78
