,request.type,request.query,request.language,request.unit,location.name,location.country,location.region,location.lat,location.lon,location.timezone_id,location.utc_offset,temperature,precip,humidity,visibility,pressure,cloudcover,heatindex,dewpoint,windchill,windgust,feelslike,date,mintemp,maxtemp,avgtemp,totalsnow,sunhour
0,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,26,0.2,75,10,1020,39,23,17,22,30,23,2021-01-01,19,26,23,0.0,7.1
1,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,26,0.2,80,9,1019,47,23,18,22,26,23,2021-01-02,19,26,23,0.0,8.7
2,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,20,2.2,80,10,1017,76,19,15,19,23,19,2021-01-03,16,20,19,0.0,3.8
3,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,18,0.0,55,10,1019,14,15,5,14,18,14,2021-01-04,12,18,15,0.0,8.7
4,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,19,0.0,65,10,1019,0,15,8,14,15,14,2021-01-05,12,19,15,0.0,8.7
5,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,18,0.0,56,10,1020,19,13,4,13,17,13,2021-01-06,10,18,14,0.0,8.7
6,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,21,0.0,66,10,1017,67,16,9,15,26,15,2021-01-07,12,21,17,0.0,5.5
7,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,18,0.6,74,10,1014,81,17,12,16,31,16,2021-01-08,15,18,17,0.0,3.9
8,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,14,0.0,65,10,1019,39,12,5,10,20,10,2021-01-09,9,14,12,0.0,7.1
9,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,15,0.0,56,10,1024,24,11,2,10,12,10,2021-01-10,7,15,11,0.0,7.1
10,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,21,0.0,69,10,1023,17,15,10,15,16,15,2021-01-11,11,21,17,0.0,8.7
11,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,24,0.0,71,10,1022,55,19,13,19,11,19,2021-01-12,16,24,20,0.0,8.7
12,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,18,0.0,77,10,1022,48,14,10,14,14,14,2021-01-13,12,18,15,0.0,7.1
13,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,18,0.0,75,10,1019,50,14,10,13,13,13,2021-01-14,9,18,15,0.0,7.1
14,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,21,0.0,70,10,1014,25,17,10,16,22,16,2021-01-15,12,21,17,0.0,8.7
15,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,16,0.3,59,10,1015,65,14,6,13,27,13,2021-01-16,12,16,14,0.0,5.5
16,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,16,0.1,67,10,1018,68,13,7,13,12,13,2021-01-17,12,16,14,0.0,3.9
17,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,17,0.1,68,10,1021,26,14,8,14,16,14,2021-01-18,11,17,15,0.0,8.7
18,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,20,0.0,42,10,1026,0,14,1,13,13,13,2021-01-19,8,20,14,0.0,8.7
19,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,21,0.0,53,10,1026,2,16,6,16,13,16,2021-01-20,12,21,17,0.0,10.8
20,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,21,0.0,59,10,1022,5,17,8,16,11,16,2021-01-21,13,21,17,0.0,10.8
21,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,22,0.0,77,10,1016,16,18,13,18,19,18,2021-01-22,15,22,19,0.0,10.8
22,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,23,0.1,85,7,1018,38,20,17,19,14,19,2021-01-23,17,23,20,0.0,10.8
23,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,26,0.0,78,8,1019,33,21,16,20,12,20,2021-01-24,16,26,21,0.0,10.8
24,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,25,0.0,81,6,1017,56,22,17,21,22,21,2021-01-25,18,25,22,0.0,8.5
25,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,26,0.0,82,8,1017,27,22,18,21,19,22,2021-01-26,18,26,22,0.0,10.9
26,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,25,0.1,87,6,1017,67,22,18,21,22,21,2021-01-27,18,25,22,0.0,10.1
27,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,16,0.0,54,10,1023,21,15,6,14,31,14,2021-01-28,12,16,14,0.0,10.9
28,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,18,0.0,55,10,1026,3,12,3,11,20,11,2021-01-29,8,18,13,0.0,10.9
29,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,20,0.0,65,10,1023,8,15,8,14,21,14,2021-01-30,11,20,16,0.0,10.9
30,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,23,0.2,73,10,1018,57,19,13,18,28,18,2021-01-31,14,23,19,0.0,7.0
