,state,date,Unnamed: 0.1.1,zipcode,temperature,precip,humidity,visibility,pressure,cloudcover,heatindex,dewpoint,windchill,windgust,feelslike,mintemp,maxtemp,avgtemp,totalsnow,sunhour
0,Alabama,2021-01-01,1774.5454545454545,35767.5,20.863636363636363,25.468181818181822,84.31818181818181,8.181818181818182,1013.4545454545455,64.95454545454545,18.90909090909091,15.5,18.136363636363637,29.454545454545453,18.136363636363637,14.454545454545455,20.863636363636363,19.636363636363637,0.0,5.486363636363637
2957,Pennsylvania,2021-01-01,2271.864864864865,18037.324324324323,2.2972972972972974,5.889189189189187,81.4054054054054,8.837837837837839,1028.7567567567567,57.21621621621622,0.35135135135135137,-2.27027027027027,-2.5675675675675675,13.864864864864865,-2.5675675675675675,-2.3513513513513513,2.2972972972972974,0.6756756756756757,0.0,5.8405405405405375
1007,Georgia,2021-01-01,2122.8064516129034,30543.870967741936,19.35483870967742,35.00967741935482,95.3225806451613,6.903225806451613,1017.1612903225806,94.51612903225806,16.64516129032258,15.935483870967742,16.0,25.258064516129032,16.0,11.290322580645162,19.35483870967742,17.451612903225808,0.0,3.987096774193546
3016,South Carolina,2021-01-01,2269.875,29532.041666666668,19.541666666666668,17.77916666666667,94.04166666666667,7.291666666666667,1020.375,87.91666666666667,17.333333333333332,16.333333333333332,16.708333333333332,23.041666666666668,16.708333333333332,13.625,19.541666666666668,17.875,0.0,3.933333333333333
3371,South Dakota,2021-01-01,2387.5,57403.5,0.5,0.0,77.0,10.0,1020.5,7.5,-3.0,-7.5,-6.0,14.5,-6.0,-6.0,0.5,-3.0,0.0,8.7
3430,Tennessee,2021-01-01,2309.8571428571427,37583.892857142855,17.5,12.5,88.10714285714286,8.321428571428571,1013.1428571428571,75.25,13.142857142857142,11.0,11.821428571428571,26.964285714285715,11.821428571428571,7.035714285714286,17.5,14.678571428571429,0.0,4.510714285714284
3489,Texas,2021-01-01,2434.5,76927.36538461539,9.923076923076923,3.923076923076923,74.01923076923077,9.23076923076923,1012.7115384615385,55.15384615384615,7.480769230769231,2.9615384615384617,4.384615384615385,26.403846153846153,4.384615384615385,5.096153846153846,9.923076923076923,7.826923076923077,0.13846153846153847,6.373076923076928
3548,Utah,2021-01-01,2478.6,84216.8,-0.2,0.02,76.0,10.0,1027.2,25.6,-2.8,-6.8,-4.8,8.4,-4.8,-5.2,-0.2,-2.2,0.0,8.360000000000001
2898,Oregon,2021-01-01,2347.0,97314.2,9.0,5.0,85.2,8.2,1016.8,84.4,6.8,4.4,5.6,11.6,5.6,2.2,9.0,7.4,0.0,4.3999999999999995
651,Florida,2021-01-01,1961.0956937799042,33402.033492822964,25.148325358851675,1.8980861244019134,76.85167464114832,9.78468899521531,1019.9569377990431,33.28708133971292,24.0622009569378,18.263157894736842,22.736842105263158,34.047846889952154,23.83732057416268,20.71291866028708,25.148325358851675,23.157894736842106,0.0,7.98564593301437
